,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
163,0.10550928115844727,0.00953621407829341,0.011761188507080078,0.000415207307431662,gini,4,5,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 5, 'n_estimators': 100}",0.848,0.784,0.84,0.7903225806451613,0.8387096774193549,0.8202064516129033,0.027241835978351087,188
433,1.0562065601348878,0.016391572393778375,0.09472117424011231,0.005467368547744837,entropy,3,11,1000,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 11, 'n_estimators': 1000}",0.84,0.792,0.84,0.782258064516129,0.8467741935483871,0.8202064516129033,0.027295047253642256,188
134,0.11329693794250488,0.01379982529324419,0.013164854049682618,0.0020336246450004345,gini,3,11,50,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'n_estimators': 50}",0.848,0.792,0.84,0.7903225806451613,0.8306451612903226,0.8201935483870969,0.02433878129064476,192
421,0.05526466369628906,0.004502047137638318,0.006562089920043946,0.0004881632977191172,entropy,3,9,50,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 9, 'n_estimators': 50}",0.848,0.792,0.84,0.7903225806451613,0.8306451612903226,0.8201935483870969,0.02433878129064476,192
432,0.7898953437805176,0.012024914748800858,0.06959767341613769,0.002422318221033552,entropy,3,11,750,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 11, 'n_estimators': 750}",0.84,0.8,0.84,0.782258064516129,0.8387096774193549,0.8201935483870967,0.024389827462752808,194
439,0.9071432590484619,0.02163161713044821,0.07318000793457032,0.005476711351534591,entropy,3,,750,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': None, 'n_estimators': 750}",0.856,0.784,0.848,0.7903225806451613,0.8225806451612904,0.8201806451612903,0.02920015679971584,195
440,1.283364963531494,0.10649224729340638,0.10232625007629395,0.011223086193984239,entropy,3,,1000,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': None, 'n_estimators': 1000}",0.864,0.784,0.848,0.7903225806451613,0.8145161290322581,0.8201677419354839,0.03139006649744213,196
564,0.7051139831542969,0.04818258670338133,0.05843496322631836,0.0062511684779595796,entropy,,7,500,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 7, 'n_estimators': 500}",0.808,0.8,0.816,0.8629032258064516,0.8064516129032258,0.8186709677419355,0.022695435416878577,197
150,0.22858872413635253,0.004096842219224398,0.02453451156616211,0.0012111622367247288,gini,4,1,250,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'n_estimators': 250}",0.848,0.776,0.8,0.8145161290322581,0.8548387096774194,0.8186709677419355,0.02951263085210626,197
504,0.013564586639404297,0.0012157881685798,0.003192234039306641,0.0003989702344178667,entropy,5,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 5, 'n_estimators': 10}",0.832,0.792,0.8,0.8145161290322581,0.8548387096774194,0.8186709677419355,0.022640569334994524,197
